LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(µm),(µm),(µm),(frame),,(µm),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID15022834,15022834,213,263.47039794921875,54.553449655975896,415.06567645802585,155.63889471032317,12.0,12,7.5,1,,646.4238169526781,568.0,412.0,1616.0,1243073.0,193.60675677539288,0.11048066185838216,0.6643578979670006
ID15813115,15813115,213,309.4363708496094,54.90118113914452,408.05232806784875,130.23516265724604,7.0,7,7.5,1,,654.8200728029121,560.0,396.0,1814.0,1259219.0,236.68210803279135,0.12247888570138747,0.6037673122656848
ID15283287,15283287,213,347.3551940917969,61.59555438350484,412.2779517212405,135.54578465559143,8.0,8,7.5,1,,668.2802912116484,557.0,399.0,2065.0,1285103.0,263.4700933207046,0.12918985902743593,0.5803884734156011
ID15967212,15967212,213,252.14759826660156,41.71958537912223,412.1543482904575,154.5662668965792,15.0,15,7.5,1,,645.7462298491939,561.0,380.0,1824.0,1241770.0,208.78890424288855,0.11590614254160439,0.6424853718315866
ID15037543,15037543,214,215.01414489746094,210.43314137424684,88.03079038297135,293.07955203611846,12.0,12,7.5,1,,680.7301092043682,604.0,419.0,1602.0,1309044.0,205.20114611687222,0.09863449807292414,0.5956632140577924
ID15223564,15223564,214,166.2133026123047,181.07159251209228,100.10080424169807,294.23019147058625,5.0,5,7.5,1,,692.9713988559542,668.0,417.0,1472.0,1332584.0,157.2086563027384,0.11583836419376599,0.9152083572115903
ID15302798,15302798,214,314.5603942871094,197.67358127374257,88.68262902027008,292.5973935348703,8.0,8,7.5,1,,782.1830473218929,736.0,413.0,1726.0,1504138.0,251.25445473382433,0.16840585430429406,0.8974041728861064
ID15830328,15830328,214,335.7060241699219,191.0632023004831,92.82965270567684,291.626272354628,7.0,7,7.5,1,,725.0296411856474,643.0,404.0,1978.0,1394232.0,237.45422836275827,0.13688368515992194,0.7352609562899863
ID15401056,15401056,214,176.85906982421875,212.6943767868639,92.5057831523418,294.3772460099743,11.0,11,7.5,1,,667.3489339573583,599.0,405.0,1522.0,1283312.0,185.09013590862597,0.09038807299965446,0.5977639605296988
ID16063070,16063070,214,301.3164367675781,163.56789884940935,97.80420867131332,293.35474869241176,3.0,3,7.5,1,,765.6136245449818,722.0,421.0,1784.0,1472275.0,220.12372824207495,0.1606086180613414,0.9626221339591762
ID16024123,16024123,214,250.3350372314453,146.90111310238993,92.50729035014575,293.99409574732175,1.0,1,7.5,1,,745.6266250650026,686.0,425.0,1705.0,1433840.0,224.45568791189595,0.15394129434657178,0.886323382252953
ID15108055,15108055,214,232.0489501953125,209.94859099160746,90.3661822771831,292.64514827968935,10.0,10,7.5,1,,697.8231929277171,641.0,406.0,1582.0,1341914.0,199.71341314756157,0.11392995260893543,0.7147401783298195
ID15868099,15868099,214,278.8450622558594,169.79392304026973,102.22285640785205,292.14538458462675,4.0,4,7.5,1,,695.8923556942277,622.0,414.0,1654.0,1338201.0,208.2156574294215,0.11859648520877163,0.7086912077769534
ID15758085,15758085,214,226.40890502929688,184.28416869715855,99.21640160737404,293.14959440968244,6.0,6,7.5,1,,721.5486219448778,680.0,393.0,1509.0,1387538.0,188.51111721364455,0.1347484971922509,0.9090398961234755
ID15569460,15569460,214,336.0821838378906,204.44848922812892,86.46540215622767,292.37498703229505,9.0,9,7.5,1,,756.0026001040042,660.0,407.0,1694.0,1453793.0,263.461375642151,0.159083672047058,0.787675157998455
ID15531217,15531217,214,262.1354675292969,153.52790370504877,93.84009120826143,294.7098340873498,2.0,2,7.5,1,,763.2423296931877,711.0,415.0,1576.0,1467715.0,218.04602550251104,0.16715293641843595,1.0026064925985314
ID15492627,15492627,214,188.76214599609375,139.19182292133513,89.24480958114121,295.88503108022155,0.0,0,7.5,1,,734.2740509620385,707.0,393.0,1342.0,1412009.0,186.01019096305993,0.13971594341110294,0.9678337924222545
ID15110726,15110726,215,115.29151916503906,334.713313741822,81.71104949599894,294.3621765456411,19.0,19,7.5,1,,619.3811752470099,573.0,416.0,1332.0,1191070.0,140.09448944261632,0.07842101610548685,0.6430001393590659
ID15148199,15148199,215,125.70723724365234,392.05237675950804,80.29756036596605,294.86030566653477,27.0,27,7.5,1,,627.3104524180967,565.0,410.0,1467.0,1206318.0,163.4654584876503,0.08700399795493764,0.6143199097605202
ID15636876,15636876,215,128.04617309570312,331.26640075768444,76.92169521482765,293.80871218195557,18.0,18,7.5,1,,620.8398335933438,569.0,385.0,1352.0,1193875.0,143.13490043868939,0.07928624649730262,0.6372725980684484
ID15037542,15037542,215,126.40982055664062,340.969763437126,85.33329180454636,293.39813606838595,12.0,12,7.5,1,,623.4160166406656,574.0,392.0,1191.0,1198829.0,139.0481526478513,0.08257052148944903,0.6839298496577332
ID15261163,15261163,215,163.57276916503906,334.3290354414452,88.09162416219242,292.4920433741338,14.0,14,7.5,1,,625.7826313052523,558.0,422.0,1643.0,1203380.0,184.5182962029927,0.07968125978742724,0.5005813825498003
ID15302797,15302797,215,135.33592224121094,344.26247512351034,77.37348788148942,292.9418347543378,8.0,8,7.5,1,,628.1289651586063,586.0,417.0,1195.0,1207892.0,136.1723788513658,0.08405360633893089,0.7153117929093772
ID15793079,15793079,215,125.33026123046875,348.63658913429026,80.92227822425548,294.8983547688372,20.0,20,7.5,1,,632.8346333853355,577.0,429.0,1479.0,1216941.0,152.85485728336488,0.08679687795079297,0.661297243788728
ID15339362,15339362,215,136.2943878173828,381.2358351201394,73.07125653617346,295.96134575890653,25.0,25,7.5,1,,654.5860634425377,574.0,419.0,1474.0,1258769.0,187.4641172830967,0.11718098656517498,0.732507732243642
ID15416763,15416763,215,131.28326416015625,397.596050774985,82.11463791432402,294.4295029348826,28.0,28,7.5,1,,626.9308372334893,574.0,398.0,1302.0,1205588.0,150.25837927319228,0.08486574943774751,0.652780812334227
ID14967765,14967765,215,133.1395721435547,329.1485813273763,75.56440079164267,298.0424403061208,17.0,17,7.5,1,,633.2282891315652,576.0,393.0,1294.0,1217698.0,155.15070177315687,0.10534457598416405,0.7779488708904553
